"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Limnocarpus Limnocarpella","Unranked","[Genus] Limnocarpus","Dorofeev P. I. ","O plodakh roda Limnocarpus С. Reid iz paleogenovykh otlozhenij SSSR [On the fruits of the genus Limnocarpus С. Reid from the Palaeogene sediments of the USSR] [1968/6]",NA,NA,"180",NA,"1468","1968","[Genus] Limnocarpus","fruits (endocarps)","2293A8D8-EB3F-4EE8-8892-8B34C3807CBF",NA,"Doklady Akademii Nauk SSSR",NA,"6","Limnocarpus ucrainicus",NA,NA,NA,NA,NA,NA,NA,NA
"Limnocarpus Palaeoruppia","Unranked","[Genus] Limnocarpus","Dorofeev P. I. ","O plodakh roda Limnocarpus С. Reid iz paleogenovykh otlozhenij SSSR [On the fruits of the genus Limnocarpus С. Reid from the Palaeogene sediments of the USSR] [1968/6]",NA,NA,"180",NA,"1468","1968","[Genus] Limnocarpus","fruits (endocarps)","C2D084BC-A1D7-4422-B4F1-E1E2D5FCE37E",NA,"Doklady Akademii Nauk SSSR",NA,"6","Limnocarpus baicalensis",NA,NA,NA,NA,NA,NA,NA,NA
"Litanaia Paralitanaia","Subgenus","[Genus] Litanaia","May A. ","Die Kalkalgen-Flora des Ober-Eifeliums und Unter-Givetiums (Devon) des nordwestlichen Sauerlandes (Rheinisches Schiefergebirge) [1992/10]",NA,NA,"228",NA,"15","1992",NA,NA,"CA8F92D8-C531-DF9E-1862-8C4747088545",NA,"Palaeontographica",NA,"1-6",NA,"[Genus] Paralitanaia",NA,NA,NA,NA,NA,NA,NA
"Lycopodites Lepidotites","Unranked","[Genus] Lycopodites","Goldenberg C. F. ","Die Selagineen der Vorwelt [1854/9]","Peter F. ","Zu der öffentlichen Prüfung des Gymnasiums und der Gymnasial-Vorbereitungsklasse zu Saarbrücken",NA,NA,"11","1854","[Genus] Lycopodites","leafy twigs","D73C30BF-F07B-1923-2680-83807E28AC9F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lycopodites Pananthites","Unranked","[Genus] Lycopodites","Goldenberg C. F. ","Die Selagineen der Vorwelt [1854/9]","Peter F. ","Zu der öffentlichen Prüfung des Gymnasiums und der Gymnasial-Vorbereitungsklasse zu Saarbrücken",NA,NA,"11","1854","[Genus] Lycopodites","leafy twigs","7A6F6112-CB02-42D8-1F60-33799BF1A082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lycospora Bizonaria","Section","[Genus] Lycospora","Teteryuk V. K. ","Osnovnye rody mikrospor srednego karbona Donetskogo bassejna (ikh kratkie diagnozy i diapazony rasprostranenija) [1970/5]",NA,NA,"30",NA,"56","1970","[Genus] Lycospora","sporae dispersae","9FF13555-0F59-411F-BDB3-013E06DD79F5",NA,"Geologicheskij Zhurnal",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lycospora Microcingulata","Section","[Genus] Lycospora","Teteryuk V. K. ","Osnovnye rody mikrospor srednego karbona Donetskogo bassejna (ikh kratkie diagnozy i diapazony rasprostranenija) [1970/5]",NA,NA,"30",NA,"56","1970","[Genus] Lycospora","sporae dispersae","56380F76-8C23-42BF-90B0-00B3C785CD35",NA,"Geologicheskij Zhurnal",NA,"3","Lycospora pusilla",NA,NA,NA,NA,NA,NA,NA,NA
"Lygodium Cavernosotriangulatum","Subgenus","[Genus] Lygodium","Ivanova E. A. Markova L. G. ","Semejstvo Schizaeaceae [1961/10]",NA,NA,NA,NA,"109","1961",NA,"sporae dispersae","6EBB75A0-3695-2673-DBAA-D7A9AC63DFE9","Ivanova E. A. ","Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"177","Lygodium cavernosum",NA,"Cavernosotriangulata",NA,NA,NA,NA,NA,NA
"Lygodium Laevigatigranulatum","Subgenus","[Genus] Lygodium","Ivanova E. A. Markova L. G. ","Semejstvo Schizaeaceae [1961/10]",NA,NA,NA,NA,"91","1961",NA,"sporae dispersae","60B5A310-E37D-8356-9C64-71B5E766370B","Ivanova E. A. ","Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"177","Lygodium japoniciforme",NA,"Laevigatigrahulata",NA,NA,NA,NA,NA,NA
"Lygodium Pilosispinulatum","Subgenus","[Genus] Lygodium","Ivanova E. A. Markova L. G. ","Semejstvo Schizaeaceae [1961/10]",NA,NA,NA,NA,"101","1961",NA,"sporae dispersae","D74E0449-8F8D-5B51-5594-6C2183CC0C2C","Ivanova E. A. ","Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"177","Lygodium horridum",NA,"Pilosispinulata",NA,NA,NA,NA,NA,NA
