"Name","Rank","Generic.Name","Authors..Pub..","Publication","Authors..Book.","Book","Volume","Fascicle","Page.number","Year","Parent.Taxon","Fossil.Status","ID","Authors..Name.","Journal","Annee.Jahrgang","Issue","Type","Вasionym.Generic.Name","Original.spelling","Вasionym.Infrageneric.Name","Edition","Replaced.Name","Designated.by","Non.fossil","Diagnosis"
"Rufloria Praerufloria","Subgenus","[Genus] Rufloria","Gluchova L. V. ","K sistematike roda Rufloria [1976/6]",NA,NA,NA,NA,"121","1976","[Genus] Rufloria","foliage","13BAA88C-1325-43B2-BFEE-DAE09912209A",NA,"Paleontologicheskii Zhurnal","1976","2","Rufloria subangusta",NA,NA,NA,NA,NA,NA,NA,NA
"Rufloria Tomentophylla","Subgenus","[Genus] Rufloria","Gluchova L. V. ","K sistematike roda Rufloria [1976/6]",NA,NA,NA,NA,"118","1976","[Genus] Rufloria","foliage","6DCA76A8-1E04-4797-8142-C1E6913D0EF7",NA,"Paleontologicheskii Zhurnal","1976","2","Rufloria tomentella",NA,NA,NA,NA,NA,NA,NA,NA
"Rufloria Tungophylla","Subgenus","[Genus] Rufloria","Gluchova L. V. ","K sistematike roda Rufloria [1976/6]",NA,NA,NA,NA,"117","1976","[Genus] Rufloria","foliage","3A794243-70B6-4934-A81E-846D8940A2E1",NA,"Paleontologicheskii Zhurnal","1976","2","Rufloria aperta",NA,NA,NA,NA,NA,NA,NA,NA
"Sacculina Imperfectina","Section","[Genus] Sacculina","Maljavkina V. S. ","Opredelitel' spor i pyl'tsy. Jura - mel [1949/11]",NA,NA,NA,NA,"93","1949","[Genus] Sacculina","sporae dispersae (pollen)","7D99F482-07FA-4435-B7BF-2D7156529C9D",NA,"Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"33","Sacculina spongiosa",NA,NA,NA,NA,NA,NA,NA,NA
"Sacculina Incurvata","Section","[Genus] Sacculina","Maljavkina V. S. ","Opredelitel' spor i pyl'tsy. Jura - mel [1949/11]",NA,NA,NA,NA,"93","1949",NA,"sporae dispersae (pollen)","A95613DC-30B3-4F6D-D410-0628C48EF53E",NA,"Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacculina Longiuscula","Genus","[Genus] Sacculina","Maljavkina V. S. ","Opredelitel' spor i pyl'tsy. Jura - mel [1949/11]",NA,NA,NA,NA,"93","1949",NA,"sporae dispersae (pollen)","FAFE97A0-AF31-5B38-D7F4-81610EB1C48D",NA,"Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sacculina Rectella","Section","[Genus] Sacculina","Maljavkina V. S. ","Opredelitel' spor i pyl'tsy. Jura - mel [1949/11]",NA,NA,NA,NA,"93","1949",NA,"sporae dispersae (pollen)","3AA8287A-AAAD-6FC6-E89E-F0FC622D5F8A",NA,"Trudy Vsesoyuznogo Neftianogo Nauchno-Issledovatel'skogo Geologorazvedochnogo Instituta",NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salvinia Cerebrata","Section","[Genus] Salvinia","Dorofeev P. I. ","Tretichnye flory Zapadnoj Sibiri [1963/6]","Dorofeev P. I. ","Tretichnye flory Zapadnoj Sibiri",NA,NA,"66","1963","[Genus] Salvinia","sporae dispersae (megaspores)","E85E734C-8D3E-4C43-8C9F-97CF3F0856CE",NA,NA,NA,NA,"Salvinia cerebrata",NA,NA,NA,NA,NA,NA,NA,NA
"Sassafras Araliopsis","Unranked","[Genus] Sassafras","Lesquereux L. C. ","Contributions to the fossil flora of the Western Territories I [1874]",NA,NA,"6",NA,"78","1874","[Genus] Sassafras","leaves","147BFDCF-9C88-4FE9-919D-C527EE0E8EA3",NA,"Report of the United States Geological Survey of the Territories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sassafras Araliopsis","Unranked","[Genus] Sassafras","Lesquereux L. C. ","Contributions to the fossil flora of the Western Territories III [1885/1]",NA,NA,"8",NA,"56, 58","1885","[Genus] Sassafras","leaves","81C1C9C1-3367-4391-96CE-FB3C9F4B610F",NA,"Report of the United States Geological Survey of the Territories","1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sigillaria Asolanus","Subgenus","[Genus] Sigillaria","Dawson J. W. ","Synopsis of the flora of the Carboniferous period in Nova Scotia [1864/1]",NA,NA,"8",NA,"434","1864",NA,NA,"AEFD8AAB-F9BA-48C6-BAD9-1FC283259CFC",NA,"Canadian naturalist and geologist","1863","6",NA,"[Genus] Asolanus",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Caulopteris","Section","[Genus] Sigillaria","Brongniart A. T. ","Histoire des végétaux fossiles [1837/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","11","416","1837",NA,NA,"7A9D4B5D-83EE-2342-516C-FAF8B4BB76D7",NA,NA,NA,NA,NA,"[Genus] Caulopteris",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Caulopteroides","Section","[Genus] Sigillaria","Guillard A. ","Note sur un végétal fossile des terrains houiller de Rive-de-Gier (Cycadium cyprinopholis) [1839/3]",NA,NA,"2",NA,"125","1839",NA,NA,"1CC1216E-8D5A-0B53-985B-ABC0486BE4A5",NA,"Annales des sciences physiques et naturelles, d’agriculture et de l’industrie",NA,NA,NA,NA,NA,"Sigillaria [Unranked] Caulopteroides",NA,NA,NA,NA,NA
"Sigillaria Caulopteroides","Unranked","[Genus] Sigillaria","Brongniart A. T. ","Histoire des végétaux fossiles [1837/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","12","422","1837",NA,"stems","586E04E7-743B-E1BE-3E96-271AB6F84EB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sigillaria Clathraria","Section","[Genus] Sigillaria","Brongniart A. T. ","Histoire des végétaux fossiles [1837/3]","Brongniart A. T. ","Histoire des végétaux fossiles","1","12","430, 431","1837",NA,NA,"3FE639C0-D114-C704-6361-B3B0D46DE234",NA,NA,NA,NA,NA,"[Genus] Clathraria",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Clathraria","Subgenus","[Genus] Sigillaria","Dawson J. W. ","Synopsis of the flora of the Carboniferous period in Nova Scotia [1864/1]",NA,NA,"8",NA,"434","1864",NA,NA,"C6196837-B1C9-4A20-B5B3-DC9C31CB7E37",NA,"Canadian naturalist and geologist","1863","6",NA,"[Genus] Clathraria",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Favularia","Subgenus","[Genus] Sigillaria","Dawson J. W. ","Synopsis of the flora of the Carboniferous period in Nova Scotia [1864/1]",NA,NA,"8",NA,"434","1864",NA,NA,"E3000519-2949-4889-B705-80D157D7C702",NA,"Canadian naturalist and geologist","1863","6",NA,"[Genus] Favularia",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Heleniella","Subgenus","[Genus] Sigillaria","Zalessky M. D. ","O dvukh novykh iskopaemykh rastenijakh iz nizhnekamennougol'nykh otlozhenij Donetskogo bassejna [1930/3]",NA,NA,NA,NA,"231","1930","[Genus] Sigillaria","stems","F0B6558A-0D86-4BC2-BBDB-C819813CC8C1",NA,"Izvestiya Akademii Nauk SSSR","1930","3","Sigillaria tchirkovaeana",NA,NA,NA,NA,NA,NA,NA,NA
"Sigillaria Leiodermariae","Section","[Genus] Sigillaria","Goldenberg C. F. ","Flora Saraepontana Fossilis [1857/12]","Goldenberg C. F. ","Flora Saraepontana Fossilis",NA,"2","7, 19","1857","[Genus] Sigillaria","stems","4263BA0C-28B1-D96A-CF52-936BBB4112C5",NA,NA,NA,NA,"Sigillaria leioderma",NA,NA,NA,NA,NA,NA,NA,NA
"Sigillaria Lineolaria","Unranked","[Genus] Sigillaria","Seringe N. C. ","Description de quelques végétaux fossiles du Bassin houiller de Ternay et de Communay [1838/3]",NA,NA,"1",NA,"358","1838","[Genus] Sigillaria","stems","4A741575-4E5A-CAAC-B94B-8E79868A4D3F",NA,"Annales des sciences physiques et naturelles, d’agriculture et de l’industrie",NA,"4","Sigillaria lineolaris",NA,NA,NA,NA,NA,NA,NA,NA
"Sigillaria Lineolaria","Section","[Genus] Sigillaria","Guillard A. ","Note sur un végétal fossile des terrains houiller de Rive-de-Gier (Cycadium cyprinopholis) [1839/3]",NA,NA,"2",NA,"125","1839",NA,NA,"A3924DA7-02BD-68C3-9046-4D98DC31182F",NA,"Annales des sciences physiques et naturelles, d’agriculture et de l’industrie",NA,NA,NA,NA,NA,"Sigillaria [Unranked] Lineolaria",NA,NA,NA,NA,NA
"Sigillaria Rhytidolepis","Subgenus","[Genus] Sigillaria","Dawson J. W. ","Synopsis of the flora of the Carboniferous period in Nova Scotia [1864/1]",NA,NA,"8",NA,"434","1864",NA,NA,"00ED5B2C-EDF0-45E2-8B46-39382054A2CD",NA,"Canadian naturalist and geologist","1863","6",NA,"[Genus] Rhytidolepis",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Rhytidolepis","Section","[Genus] Sigillaria","Goldenberg C. F. ","Flora Saraepontana Fossilis [1857/12]","Goldenberg C. F. ","Flora Saraepontana Fossilis",NA,"2","7, 26","1857",NA,NA,"8DC78C74-5C1E-844A-28EE-CE080CABA251",NA,NA,NA,NA,NA,"[Genus] Rhytidolepis",NA,NA,NA,NA,NA,NA,NA
"Sigillaria Syringodendron","Section","[Genus] Sigillaria","Goldenberg C. F. ","Flora Saraepontana Fossilis [1857/12]","Goldenberg C. F. ","Flora Saraepontana Fossilis",NA,"2","7, 52","1857",NA,NA,"8E0C41B4-3DF2-D5C7-62C2-8AF00E293CAF",NA,NA,NA,NA,NA,"[Genus] Syringodendron",NA,NA,NA,NA,NA,NA,NA
"Sphaerococcides Eusphaerococcides","Subgenus","[Genus] Sphaerococcides","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"165","1869","[Genus] Sphaerococcides","thallus","6A869C49-C68E-2614-4024-AB6332FE9DC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphaerococcides Halymenides","Subgenus","[Genus] Sphaerococcides","Schimper W. ","Traité de Paléontologie Végétale [1869/3]","Schimper W. ","Traité de Paléontologie Végétale","1",NA,"163","1869",NA,"thallus","4CE0524C-BA9B-F41D-7692-8C5AE4D72F9C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenophyllum Tikhvinskia","Subgenus","[Genus] Sphenophyllum","Esaulova N. K. ","Sfenofilly verkhnej permi Prikam'ja i voprosy sistematiki vegetativnykh pobegov Sphenophyllaceae [1987/3]",NA,NA,NA,NA,"105","1987","[Genus] Sphenophyllum","stems (with leaves)","81D8B8CC-3451-4171-AF1D-45B3F1DF75FE",NA,"Paleontologicheskii Zhurnal","1987","1","Sphenophyllum stoukenbergii",NA,NA,NA,NA,NA,NA,NA,"Стебли членистые, широкие, расширенные в узлах. В мутовках по шесть листьев. Листья продолговатые или лопатчатые. Передний край ровный, фестончатый или бахромчатый. Боковые края ровные или слабоволнистые. В широкое основание листа, приnрепленное к расширению узла, входит шесть жилок. Жилки дихотомируют 2-3 раза, из них средние выходят в верхний край листа, а боковые - в боковые края его, довольно близко к основанию. Выше прикрепления основание листа неплотно прилегает к стеблю."
"Sphenopteris Aneimiites","Subgenus","[Genus] Sphenopteris","Schimper W. von Schenk A. J. ","Palaeophytologie [1879/9]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","1","108","1879",NA,"foliage","CD40E831-367A-3282-B0B9-373276D5A14D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Aspidioides","Unranked","[Genus] Sphenopteris","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert [1842/10]","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert",NA,"3-4","73","1842","[Genus] Sphenopteris","foliage","9AF725A8-24BA-4826-5789-D953F9BC62E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphenopteris [Unranked] Dicksonioides",NA,NA,NA
"Sphenopteris Cheilanthites","Subgenus","[Genus] Sphenopteris","Schimper W. von Schenk A. J. ","Palaeophytologie [1879/9]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","1","109","1879",NA,NA,"E91515E6-E37D-2B08-DE23-70551BBE8B55",NA,NA,NA,NA,NA,"[Genus] Cheilanthites",NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Cheilanthoides","Unranked","[Genus] Sphenopteris","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert [1842/10]","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert",NA,"3-4","71","1842","[Genus] Sphenopteris","foliage","D1550C9D-6862-6888-8E90-7C460A69E29C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Conjunctae","Unranked","[Genus] Sphenopteris","Behrend F. ","Über einige Carbonfarne aus der Familie der Sphenopteriden [1908/8]","Behrend F. ","Über einige Carbonfarne aus der Familie der Sphenopteriden",NA,NA,"15","1908","[Genus] Sphenopteris","foliage","03791082-FEA6-EDAD-15EC-92E2D0544216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Davallioides","Unranked","[Genus] Sphenopteris","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert [1842/10]","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert",NA,"3-4","67","1842","[Genus] Sphenopteris","foliage","C0A79D94-981C-6FC3-C207-568042443925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Dicksoniites","Subgenus","[Genus] Sphenopteris","Schimper W. von Schenk A. J. ","Palaeophytologie [1879/9]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","1","109","1879",NA,NA,"02F1408A-9AE1-9B18-59F2-09482DCA4316",NA,NA,NA,NA,NA,"[Genus] Dicksoniites",NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Dicksonioides","Unranked","[Genus] Sphenopteris","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert [1842/10]","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert",NA,"3-4","73","1842","[Genus] Sphenopteris","foliage","3A9AFFA0-2432-5BA9-5136-FD62ED0319DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Eusphenopteris","Subgenus","[Genus] Sphenopteris","Schimper W. von Schenk A. J. ","Palaeophytologie [1879/9]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","1","107","1879",NA,"foliage","E607B6DA-71FE-5199-B852-9C12537B7FE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Gymnogrammites","Subgenus","[Genus] Sphenopteris","Schimper W. von Schenk A. J. ","Palaeophytologie [1879/9]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","1","108","1879",NA,"foliage","0D2D05B4-9B33-326C-A29C-3780828E260D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Hymenophyllites","Subgenus","[Genus] Sphenopteris","Koechlin-Schlumberger J. É. Schimper W. ","Mémoire sur le terrain de transition des Vosges [1862/9]","Koechlin-Schlumberger J. É. Schimper W. ","Mémoire sur le terrain de transition des Vosges",NA,NA,"341","1862",NA,NA,"0BF2A6C3-9215-5E2B-001D-1BAE72448783","Schimper W. ",NA,NA,NA,NA,"[Genus] Hymenophyllites",NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Solutae","Unranked","[Genus] Sphenopteris","Behrend F. ","Über einige Carbonfarne aus der Familie der Sphenopteriden [1908/8]","Behrend F. ","Über einige Carbonfarne aus der Familie der Sphenopteriden",NA,NA,"15","1908","[Genus] Sphenopteris","foliage","FF15818A-1B42-EB4D-1DF9-1C8231CBE5A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Trichomanides","Subgenus","[Genus] Sphenopteris",NA,"Not defined (in editing)",NA,NA,NA,NA,"94",NA,NA,"foliage","94D0D060-3ED6-BE1F-CACF-53283AC764BE","Tenison-Woods J. ",NA,NA,NA,"Trichomanides ettingshausenii",NA,NA,NA,NA,NA,NA,NA,NA
"Sphenopteris Trichomanites","Subgenus","[Genus] Sphenopteris","Schimper W. von Schenk A. J. ","Palaeophytologie [1879/9]","von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","1","107","1879",NA,NA,"851AC57F-90AC-D672-71E5-E106C44C7D1D",NA,NA,NA,NA,NA,"[Genus] Trichomanites",NA,NA,NA,NA,NA,NA,NA
"Sphenozamia Cyclozamia","Subgenus","[Genus] Sphenozamia","Pomel A. N. ","Matériaux pour servir à la flore fossile des terrains jurassiques de la France [1849/12]",NA,NA,"25",NA,"345","1849","[Genus] Sphenozamia","foliage","5687CD4C-0BD5-4619-AD66-E4E2FAAEB95B",NA,"Amtlicher Bericht über die Versammlung Deutscher Naturforscher und Ärzte (Aerzte)","1847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steffensia Acropteris","Subgenus","[Genus] Steffensia","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","7-8","124","1838",NA,"foliage (fertile)","E39C7DA3-251E-B336-9D18-C709E0AA55E5","Presl K. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steffensia Notopteris","Subgenus","[Genus] Steffensia","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt [1838/9]","Sternberg K. M. ","Versuch einer geognostisch-botanischen Darstellung der Flora der Vorwelt","[2]","7-8","122","1838","[Genus] Steffensia","foliage (fertile)","B071E7A4-5FEC-A2BD-40E8-D7DBEFBC5E66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephanoporites Psilastephanoporites","Subgenus","[Genus] Stephanoporites",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,NA,NA,"sporae dispersae (pollen)","18F66ECA-947A-FAA9-F797-92263EA6945D","van der Hammen T. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereisporites Distancoraesporis","Subgenus","[Genus] Stereisporites","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas [1963/10]","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas",NA,"3","14","1963",NA,"sporae dispersae","D6C7F45C-6D4A-FF5F-B102-81E9A4CE3945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereisporites Distgranisporis","Subgenus","[Genus] Stereisporites","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas [1963/10]","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas",NA,"3","15","1963",NA,"sporae dispersae","F54515D7-D58B-6B15-5F63-C2DB785FA0EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereisporites Distverrusporis","Subgenus","[Genus] Stereisporites","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas [1963/10]","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas",NA,"3","14","1963",NA,"sporae dispersae","B005BB91-56DA-8B44-3142-998E7C0DCE7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereisporites Distzonosporis","Subgenus","[Genus] Stereisporites","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas [1963/10]","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas",NA,"3","16","1963",NA,"sporae dispersae","4540AA87-8078-0E28-E28A-2101596A2486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereisporites Stereigranisporis","Subgenus","[Genus] Stereisporites","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas [1963/10]","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas",NA,"3","15","1963",NA,"sporae dispersae","E7EE5253-0BBF-60B0-F91E-27520F808912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stereisporites Structisporis","Subgenus","[Genus] Stereisporites","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas [1963/10]","Krutzsch W. ","Atlas der mittel- und jungtertiären dispersen Sporen- und Pollen- sowie der Mikroplanktonformen des nördlichen Mitteleuropas",NA,"3","16","1963",NA,"sporae dispersae","BF76330F-80AC-B004-A95A-0C52C8C74434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stratiotes Imperfectus","Section","[Genus] Stratiotes","Nikitin V. P. ","Paleokarpologija i stratigrafija paleogena i neogena Aziatskoj Rossii [2007/1]","Nikitin V. P. ","Paleokarpologija i stratigrafija paleogena i neogena Aziatskoj Rossii",NA,NA,"132","2007","[Genus] Stratiotes","seeds","1FE5B745-E506-4B8D-BD8C-5F58C33867BC",NA,NA,NA,NA,"Stratiotes imperfectus",NA,NA,NA,"2006",NA,NA,NA,NA
"Stratiotes Inversus","Section","[Genus] Stratiotes","Nikitin V. P. ","Paleokarpologija i stratigrafija paleogena i neogena Aziatskoj Rossii [2007/1]","Nikitin V. P. ","Paleokarpologija i stratigrafija paleogena i neogena Aziatskoj Rossii",NA,NA,"133","2007","[Genus] Stratiotes","seeds","E5804CA6-FAC7-43B7-BE31-4604BB0C4181",NA,NA,NA,NA,"Stratiotes inversus",NA,NA,NA,"2006",NA,NA,NA,NA
"Sycidium Centroporus","Subgenus","[Genus] Sycidium","Langer W. ","Über Charophyta und einige Foraminiferen aus dem westdeutschen Mitteldevon [1991]",NA,NA,NA,NA,"310","1991","[Genus] Sycidium","gyrogonites","49186FA3-E560-43C9-AB28-15333E937357",NA,"Neues Jahrbuch für Geologie und Paläontologie Monatshefte","1991","5","Sycidium volborthii",NA,NA,NA,NA,NA,NA,NA,NA
"Taeniopteris Elbursia","Subgenus","[Genus] Taeniopteris","Sadovnikov G. N. ","Rody Taeniopteris, Nilssoniopteris i Nilssonia v pozdnetriasovoj flore Irana [1989/9]",NA,NA,NA,NA,"97","1989","[Genus] Taeniopteris","foliage","3FB029F6-6E55-4976-81BF-176D0E548071",NA,"Paleontologicheskii Zhurnal","1989","3","Taeniopteris mikailovii",NA,NA,NA,NA,NA,NA,NA,NA
"Taxoxylon Callitroxylon","Unranked","[Genus] Taxoxylon","Hartig T. ","Beiträge zur Geschichte der Pflanzen und zur Kenntniss der norddeutschen Braunkohlen-Flora (Fortsetzung) [1848/2]",NA,NA,"6",NA,"140","1848",NA,"stems (wood)","40F80950-4E94-8CE2-03B9-278A327A9FF9",NA,"Botanische Zeitung",NA,"8","Taxoxylon ayckii",NA,"Taxoxylum",NA,NA,NA,NA,NA,NA
"Tectochara Sulcosphaera","Subgenus","[Genus] Tectochara","Maslov V. P. ","Nekotorye kajnozojskie kharofity SSSR i metodika ikh izuchenija [Some Cainozoic charophytes of the south of the USSR and methods of their study] [1966/5]",NA,NA,NA,NA,"62","1966","[Genus] Tectochara","gyrogonites","556DA92B-FC69-49AA-9A7C-43C987116573",NA,"Trudy Geologicheskogo Instituta Akademii Nauk SSSR",NA,"143","Tectochara nethoiensis",NA,NA,NA,NA,NA,NA,NA,NA
"Tetracolporopollenites Manifestoidae","Section","[Genus] Tetracolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"108","1953","[Genus] Tetracolporopollenites","sporae dispersae (pollen)","87DDF6B1-F934-4FA5-84DF-13813A9BD821","Pflug H. D. Thomson P. ","Palaeontographica",NA,"1-4","Tetracolporopollenites manifestus",NA,NA,NA,NA,NA,NA,NA,NA
"Tetracolporopollenites Obscuroidae","Section","[Genus] Tetracolporopollenites","Thomson P. Pflug H. D. ","Pollen und Sporen des Mitteleuropäischen Tertiärs [1953/3]",NA,NA,"94",NA,"108","1953","[Genus] Tetracolporopollenites","sporae dispersae (pollen)","2118877E-6533-4148-B8E8-FEBD86A4975D","Pflug H. D. Thomson P. ","Palaeontographica",NA,"1-4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tomiodendron Borejella","Subgenus","[Genus] Tomiodendron","Radczenko G. P. ","Rod Tomiodendron Radczenko gen. nov. [Genus Tomiodendron Radczenko gen. nov.] [1956/7]",NA,NA,NA,NA,"198","1956","[Genus] Tomiodendron","stems","681B9E86-5C36-476B-B95E-DD9146F20D70",NA,"Materialy Vsesoyuznogo Nauchno-Issledovatel'skogo Geologicheskogo Instituta",NA,"12","Tomiodendron spetsbergense",NA,NA,NA,NA,NA,NA,NA,NA
"Tomiodendron Paratomiodendron","Subgenus","[Genus] Tomiodendron","Durante M. V. ","Nizhnekamennougol'naya flora Mongolii [1989/9]","Akhmetiev M. A. ","Paleofloristika i stratigrafiya fanerozoya",NA,NA,"25","1989",NA,"stems","A049CE30-4773-18C8-2CE6-4F8607227347",NA,NA,NA,NA,"Tomiodendron mongolicum",NA,NA,NA,NA,NA,NA,NA,NA
"Trapa Ceretaniensis","Section","[Genus] Trapa","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke [1961/7]","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke",NA,NA,"60","1961","[Genus] Trapa","fruits","D3C356A6-3349-4107-974E-DFE4DE5623DD",NA,NA,NA,NA,"Trapa ceretana",NA,NA,NA,NA,NA,NA,NA,NA
"Trapa Heeriensis","Section","[Genus] Trapa","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke [1961/7]","Senjaninova-Korczagina M. V. ","Iskopaemyj vodjanoj orekh (Trapa L.) kak indikator paleogeograficheskikh uslovij na Karel'skom pereshejke",NA,NA,"51","1961","[Genus] Trapa","fruits","D16E8A8D-A017-43B7-B8A3-54B7386F65FA",NA,NA,NA,NA,"Trapa heeri",NA,NA,NA,NA,NA,NA,NA,NA
