"","Name","URL"
"101","Section Partitoidae","http://ifpni.org/infragenus.htm?id=A8EDC269-643D-44AF-801D-40AB29D98277"
"102","Subgenus Bjuvia","http://ifpni.org/infragenus.htm?id=5E22F186-6221-4D77-929C-682DFD0B2ADF"
"103","Section Dryophanes","http://ifpni.org/infragenus.htm?id=A207D5AB-0603-1755-02F0-FA87FB97A4A8"
"104","Section Eudryophyllum","http://ifpni.org/infragenus.htm?id=0C304394-0BAD-73E2-77A6-1FC561E60B55"
"105","Section Eudryophyllum","http://ifpni.org/infragenus.htm?id=A6379A14-DF66-4E45-AE43-EB081AD3CE30"
"106","Subgenus Ardengostella","http://ifpni.org/infragenus.htm?id=5AB64375-2F69-A669-78C4-D2C18C750249"
"107","Section Palaeocarya","http://ifpni.org/infragenus.htm?id=74C446FF-EDBE-4872-B148-CDFAD9FA4AA8"
"108","Section Tomskiella","http://ifpni.org/infragenus.htm?id=04AEAFF4-D1D9-4CB9-9FE8-E4704C2A4E44"
"109","Subgenus Cretacea","http://ifpni.org/infragenus.htm?id=7E847B07-1F04-40D6-BB96-32BE8D286069"
"110","Subgenus Sphaerophyton","http://ifpni.org/infragenus.htm?id=9DA0FB57-2F36-DAEF-E59E-246B11EE503C"
"111","Subgenus Zonophytum","http://ifpni.org/infragenus.htm?id=353B754C-0337-96FF-1618-3D0D21C21235"
"112","Subgenus Palaeocleyera","http://ifpni.org/infragenus.htm?id=BF357495-CF88-FB9E-0C8A-34281CAFA7D9"
"113","Subgenus Palaeocleyera","http://ifpni.org/infragenus.htm?id=E36E4DEC-DDF8-DC79-9FB4-A988B4155663"
"114","Section Atumescoidae","http://ifpni.org/infragenus.htm?id=358A1B8C-8EFB-4A9E-9D3C-A2695777DC98"
"115","Section Basaloidae","http://ifpni.org/infragenus.htm?id=30F0ABF1-62E9-4787-954D-717C467917BE"
"116","Section Conjunctoidae","http://ifpni.org/infragenus.htm?id=D0844B80-067D-49FC-9602-A35FF253B5CB"
"117","Section Hemiperfectoidae","http://ifpni.org/infragenus.htm?id=25EF3C12-3852-40A9-9845-DEAABA478FD9"
"118","Section lnterporoidae","http://ifpni.org/infragenus.htm?id=E4F00DB5-EEA1-47E3-A1AC-226CADCBFC46"
"119","Section Nudoidae","http://ifpni.org/infragenus.htm?id=7D8112B2-A7DD-4C26-8854-8F7469B0FF2D"
"120","Section Pertrudoidae","http://ifpni.org/infragenus.htm?id=B70B3AF1-CAC4-480E-B0C4-A8BF167E8491"
"121","Section Pompeckjoidae","http://ifpni.org/infragenus.htm?id=0D411906-F7D3-429B-B91E-846B4310B39F"
"122","Section Dictyopteris","http://ifpni.org/infragenus.htm?id=A82359F2-E9DD-44E4-9813-93513E70CE92"
"123","Subgenus Glossopteris","http://ifpni.org/infragenus.htm?id=4E279394-A5F0-BD98-CE70-6D58AA13DDDD"
"124","Section Glossopteris","http://ifpni.org/infragenus.htm?id=F2D1CB3A-96EB-4FCC-9927-0F6AF4BA5EDB"
"125","Subgenus Hymenopteris","http://ifpni.org/infragenus.htm?id=F5155D3A-4E26-4DF1-A5F2-493B495D7519"
"126","Subgenus Neuropteris","http://ifpni.org/infragenus.htm?id=25C35505-1BDB-BE33-2A45-E6AA009B5922"
"127","Section Neuropteris","http://ifpni.org/infragenus.htm?id=98154330-77C9-4578-8A6D-BDB933115619"
"128","Section Odontopteris","http://ifpni.org/infragenus.htm?id=1EA82DA1-96C2-460F-A7C9-4818D13855D9"
"129","Subgenus Odontopteris","http://ifpni.org/infragenus.htm?id=F53CEE16-7CEC-B64E-9156-EF577071B160"
"130","Section Pecopteris","http://ifpni.org/infragenus.htm?id=2D4D1737-E325-4A5F-83F8-C443F2C6B64F"
"131","Subgenus Pecopteris","http://ifpni.org/infragenus.htm?id=EEF72176-88EF-4175-809C-20DD197966F2"
"132","Subgenus Sphenopteris","http://ifpni.org/infragenus.htm?id=2CCDF6FC-AD4F-34AD-8640-423E07B16708"
"133","Section Sphenopteris","http://ifpni.org/infragenus.htm?id=954D40CD-0BFC-45C4-8554-7BE0C9F81837"
