"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Sphenolithaceae","Family","Deflandre G. ","Classe des Coccolithophoridés [1952/6]",NA,NA,"112","1952","[Phylum] Prymnesiophyta","[Genus] Sphenolithus","1E31D726-F9D7-430D-92BC-AA103A5869DC",NA,"Sphenolithidae","Piveteau J. ","Traité de paléontologie","1",NA,NA,NA,NA,NA
"Sphenolithaceae","Family","Deflandre G. ","Classe des Coccolithophoridés (Coccolithophoridae Lohmann, 1902) [1952/7]",NA,NA,"466","1952","[Phylum] Prymnesiophyta","[Genus] Sphenolithus","E861960A-4885-413B-88E4-FF9E19BBACF6",NA,"Sphenolithidae","Grassé P.-P. ","Traité de zoologie","1",NA,"1",NA,NA,NA
"Sphenophyllaceae","Family","Warming E. ","Den systematiske Botanik [1891/10]",NA,NA,"211","1891","[Order] Sphenophyllales","[Genus] Sphenophyllum","F5C74FBD-4F46-4FCB-B8E9-536C903930C7",NA,NA,"Warming E. ","Den systematiske Botanik",NA,NA,NA,NA,"3",NA
"Sphenophyllales","Order","Wettstein R. ","Handbuch der systematischen Botanik [1903/11]",NA,NA,"82","1903","[Class] Sphenophyllopsida","[Genus] Sphenophyllum","7D1A1C07-5E62-4482-BC14-FD86C425584E",NA,NA,"Wettstein R. ","Handbuch der systematischen Botanik","2",NA,"1",NA,NA,NA
"Sphenophyllidae","Subclass","Engler A. ","Syllabus der Pflanzenfamilien [1924/11]",NA,NA,"107-108","1924","[Class] Sphenophyllopsida",NA,"D0A6F475-EFF2-460B-9D8B-186781BB81A0",NA,"Sphenophyllales","Engler A. ","Syllabus der Pflanzenfamilien",NA,NA,NA,NA,"9-10",NA
"Sphenophyllineae","Unranked","Lilpop J. ","Nowe rośliny permokarbońskich skał w Polsce I [1937/1-5]","Bulletin international de l’Académie Polonaise des Sciences et des Lettres","1-5","9","1937","[Order] Sphenophyllales","[Genus] Sphenophyllum","5E93BC53-7310-ED81-EA76-A226BA4FF125",NA,NA,NA,NA,NA,NA,NA,"1937",NA,NA
"Sphenophyllophyta","Phylum","Scott D. H. ","Present position of morphological botany. Opening address to Section K, Botany, of the 66th Meeting of the British Association for the Advancement of Science held at Liverpool in September 1896 [1896/10]","Nature",NA,"541","1896",NA,NA,"C7FF0EC6-B8F0-4A74-B5FD-101595246E00",NA,"Sphenophylleae",NA,NA,"54",NA,NA,NA,NA,NA
"Sphenophyllophytina","Subphylum","Kryshtofovich A. N. ","Paleobotanika [1957/7]",NA,NA,"195","1957","[Phylum] Sphenophyllophyta",NA,"6AD7AB24-7C18-4F66-9F04-B1D84A1CC019",NA,"Sphenopsida","Kryshtofovich A. N. ","Paleobotanika",NA,NA,NA,NA,"4",NA
"Sphenophyllopsida","Class","Goebel K. I. ","Outlines of Classification and Special Morphology of plants. A new edition of Sach’s Text-Book of Botany, Book II [1887/2]",NA,NA,"193","1887","[Phylum] Sphenophyllophyta","[Genus] Sphenophyllum","9D5073A9-0587-4791-8D11-E67D88470FC4",NA,"Sphenophylleae","Goebel K. I. ","Outlines of Classification and Special Morphology of plants",NA,NA,NA,NA,NA,NA
"Sphenophyllopsidanae","Superclass","Koso-Poljansky B. M. ","K modernizatsii sistemy rastitel'nogo mira [1949]","Trudy Voronezhskogo Gosudarstvennogo Universiteta",NA,"81, 85","1949","[Phylum] Sphenophyllophyta","[Genus] Sphenophyllum","211398CA-4F15-4B93-B54E-3E427B4A16E7",NA,"Sphenopsida",NA,NA,"15",NA,NA,NA,NA,NA
"Sphenopolypodiaceae","Family","Schimper W. ","Traité de Paléontologie Végétale [1869/3]",NA,NA,"371","1869","[Order] Sphenopteridales",NA,"275C2B85-25C2-3F1A-CA94-48C7716FB1F9",NA,NA,"Schimper W. ","Traité de Paléontologie Végétale","1",NA,NA,NA,NA,NA
"Sphenopteridaceae","Family","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert [1842/10]",NA,NA,"49","1842",NA,"[Genus] Sphenopteris","CC2A4E1B-6EC7-4D4A-B385-F47C2CB206E7",NA,"Sphenopterides","Göppert H. R. ","Die Gattungen der fossilen Pflanzen vergleichen mit denen der Jetztwelt und durch Abbildungen erläutert",NA,NA,"3-4",NA,NA,NA
"Sphenopteridales","Unranked","Chachlov V. A. ","Iskopaemye rasteniya Kuzbassa [1937/6]",NA,NA,"30","1937",NA,"[Genus] Sphenopteris","46BC2716-5E14-EB67-7B0D-36975E645EF9",NA,NA,"Chachlov V. A. ","Iskopaemye rasteniya Kuzbassa",NA,NA,NA,NA,NA,NA
"Sphenopteridales","Order","Schimper W. ","Traité de Paléontologie Végétale [1869/3]",NA,NA,"371","1869",NA,"[Genus] Sphenopteris","5657C7DB-5F4B-4923-90A7-8F7ED78A3651",NA,"Sphenopterideae","Schimper W. ","Traité de Paléontologie Végétale","1",NA,NA,NA,NA,NA
"Sphenopterideae","Tribe","Göppert H. R. ","Fossile Flora des Übergangsgebirges [1852/11]","Novorum actorum Academiae Caesareae Leopoldinae-Carolinae Naturae Curiosorum","Suppl.","139","1852","[Family] Sphenopteridaceae","[Genus] Sphenopteris","33895DD8-B6D0-1C32-94F0-CBCA9232F0DC",NA,"Sphenopterides",NA,NA,"22",NA,NA,NA,NA,NA
"Sphenopterides","Unranked","Göppert H. R. ","Mémoire sur les fougères fossiles [1836/5]","L’Institut","156","141","1836","[Phylum] Pteridophyta","[Genus] Sphenopteris","C0368913-8FA7-3682-0179-96E187700730",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA
"Sphenopteridoideae","Subfamily","Behrend F. ","Über einige Carbonfarne aus der Familie der Sphenopteriden [1908/8]",NA,NA,"8","1908","[Family] Sphenopteridaceae","[Genus] Sphenopteris","43358D11-F2A0-7D74-2208-EB1669066B52",NA,NA,"Behrend F. ","Über einige Carbonfarne aus der Familie der Sphenopteriden",NA,NA,NA,NA,NA,NA
"Sphyropteridoideae","Subfamily","Štúr D. ","Zur Morphologie und Systematik der Culm- und Carbonfarne [1883/12]",NA,NA,"22","1883","[Family] Urnatopteridaceae","[Genus] Sphyropteris","9BE49DE3-ED46-4671-8901-1C1050753ECC",NA,"Sphyropterideae","Štúr D. ","Zur Morphologie und Systematik der Culm- und Carbonfarne",NA,NA,NA,NA,NA,NA
"Spongiophytaceae","Family","Kräusel R. ","Spongiophyton nov. gen. (Thallophyta) e Haplostigma Seward (Pteridophyta) im Unter-Devon von Paraná [1954/12]",NA,NA,"206","1954","[Order] Spongiophytales","[Genus] Spongiophyton","8D1A2730-34A9-4E45-B3C0-D57421EB1E74",NA,NA,"Lange F. W. ","Paleontologia do Paraná",NA,NA,NA,NA,NA,NA
"Spongiophytales","Order","Sommer F. W. ","Spongiophytales, uma nova ordem de talófitos, da classe fóssil dos Algomycetes [1960]","Anais da Academia Brasileira de Ciências","4","xliii","1960",NA,"[Genus] Spongiophyton","C62EDB39-8C94-43C9-A18D-ADB1B9BEFB44",NA,NA,NA,NA,"31",NA,NA,"1959",NA,NA
"Spongiostromataceae","Family","Gürich G. ","Les Spongiostromides du Viséen de la province de Namur [1907/4]","Mémoires du Musée Royal d’Histoire Naturelle de Belgique","Art. 4 = Mémoire 12","35, 50","1907","[Order] Spongiostromatales","[Genus] Spongiostroma","81131464-0C97-32E0-31A9-2368FF5D8878",NA,"Spongiostromidae",NA,NA,"3",NA,NA,"1906",NA,NA
"Spongiostromatales","Order","Gürich G. ","Les Spongiostromides du Viséen de la province de Namur [1907/4]","Mémoires du Musée Royal d’Histoire Naturelle de Belgique","Art. 4 = Mémoire 12","32, 35, 53","1907","[Regnum] Prokaryota","[Genus] Spongiostroma","CB72DD52-BD51-ED83-B433-AAA6A8FDD379",NA,"Spongiostromaceae",NA,NA,"3",NA,NA,"1906",NA,NA
"Sporangiostrobaceae","Family","Thomas B. A. Brack-Hanes S. D. ","A new approach to family grouping in the lycophytes [1984/5]","Taxon","2","251","1984","[Family] Omphalophloiaceae","[Genus] Sporangiostrobus","F2CA19FD-0ADE-D099-5222-71A20421606F",NA,NA,NA,NA,"33",NA,NA,NA,NA,NA
"Sporites","Anteturma","Potonié R. Klaus W. ","Einige Sporengattungen des alpinen Salzgebirges [1954/4]","Geologisches Jahrbuch",NA,"522","1954",NA,NA,"0731666E-51C0-E017-105D-AAEF5CD9085C",NA,NA,NA,NA,"68","Potonié R. ",NA,NA,NA,NA
"Sporogonitaceae","Family","Høeg O. F. A. ","Psilophyta [1967/3]",NA,NA,"240","1967","[Phylum] Bryophyta","[Genus] Sporogonites","9FDC8D80-90C0-B632-647F-1D30D0D28D5D",NA,NA,"Boureau É. ","Traité de Paléobotanique","2",NA,NA,NA,NA,NA
"Sporonites","Anteturma","Potonié R. Klaus W. ","Einige Sporengattungen des alpinen Salzgebirges [1954/4]","Geologisches Jahrbuch",NA,"520","1954",NA,NA,"4B503C8E-6B75-8F9F-2326-58ABB8B7E3C0",NA,NA,NA,NA,"68","Potonié R. ",NA,NA,NA,NA
"Sporophyllitaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xvi","2001","[Order] Sporophyllitales",NA,"4CF66724-4FAB-4349-9CCE-83804A6DF7FD",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Sporophyllitales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xvi","2001","[Class] Peltaspermopsida",NA,"C538621B-CA1D-4152-89BD-59C77611BDD7",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Stacheioideae","Subfamily","Loeblich A. R., Jr. Tappan H. N. ","Suprageneric classification of the Rhizopodea [1961/3]","Journal of Paleontology","2","285","1961",NA,"[Genus] Stacheia","5524D2FF-A2CD-4D49-8CDD-81C74AF9B767",NA,"Stacheiinae",NA,NA,"35",NA,NA,NA,NA,NA
"Stachyotaxaceae","Family","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","83","1950","[Order] Palissyales","[Genus] Stachyotaxus","43C236A9-5F71-336C-B704-0377BCADE19C",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA
"Stachyotaxaceae","Family","Němejc F. ","Notes on the evolution and taxonomy of the stachyospermic gymnosperms [1959/6]","Preslia","3","267","1959",NA,NA,"975D4668-DF79-42D2-9A2B-F17CFFE2B158",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA
"Stachyotaxales","Order","Němejc F. ","Paleobotanika [1968/7]",NA,NA,"357","1968",NA,NA,"D6663929-EBCB-47BF-883F-F1A5A3E45F5E",NA,NA,"Němejc F. ","Paleobotanika","3",NA,NA,NA,NA,NA
"Stachyotaxineae","Suborder","Němejc F. ","Notes on the evolution and taxonomy of the stachyospermic gymnosperms [1959/6]","Preslia","3","270","1959","[Order] Stachyotaxales","[Genus] Stachyotaxus","95BAB054-AB94-65FC-CA70-2FF08FB3554C",NA,NA,NA,NA,"31",NA,NA,NA,NA,NA
"Stachypteridaceae","Family",NA,"Not defined (in editing)",NA,NA,"54",NA,"[Order] Schizaeales","[Genus] Stachypteris","A0C6C422-9787-72F0-ADED-999B2C18BA49",NA,"Stachypterideae",NA,NA,NA,"de Zigno A. ",NA,NA,NA,NA
"Stachyuraceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,NA,"[Genus] Stachyurus","95B6E280-A3B0-41F5-9C85-037267B5DABE","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stangeriaceae","Family","Schimper W. von Schenk A. J. ","Palaeophytologie [1880/12]",NA,NA,"216","1880","[Order] Zamiales",NA,"0C480AF6-6655-3B07-C90B-F2CBEE39EC70","Yes",NA,"von Zittel K. A. ","Handbuch der Palaeontologie","Abtheilung 2","von Schenk A. J. ","2",NA,NA,NA
"Staphyleaceae","Family","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [1820/7]",NA,NA,"598","1820","[Order] Sapindales","[Genus] Staphylea","E9FE9770-16AA-4B08-A60D-3BE3F3C5FA8C","Yes","Staphyleae","Martynov I. I. ","Tekhno-Botanicheskij Slovar' [Techno-Botanical Dictionary]",NA,NA,NA,NA,NA,NA
"Stauropteridaceae","Family","Posthumus O. ","Eenige opmerkingen betreffende de indeeling en de nomenclatuur van de Inversicatenales [1924/11]","Verslagen van de gewone vergaderingen des wis- en natuurkundige afdeeling der Koninklijke Akademie van Wetenschappen te Amsterdam","9","885","1924","[Order] Stauropteridales","[Genus] Stauropteris","7A261D9B-C0D3-ABAD-928A-781F79998F58",NA,NA,NA,NA,"33",NA,NA,NA,NA,NA
"Stauropteridales","Order","Emberger L. ","Les Plantes Fossiles [1944/4-6]",NA,NA,"203","1944","[Class] Stauropteridopsida","[Genus] Stauropteris","61318D19-A5C7-4923-B3C0-FE99D1C8D0A4",NA,NA,"Emberger L. ","Les Plantes Fossiles",NA,NA,NA,NA,NA,NA
"Stauropterideae","Tribe","Ogura Y. ","Anatomie der Vegetationsorgane der Pteridophyten [1938/5]",NA,NA,"258","1938",NA,"[Genus] Stauropteris","3D3BE4AF-A17B-4FB1-AC54-17C20DB7FAEC",NA,NA,"Linsbauer K. ","Handbuch der Pflanzenanatomie","Abtheilung II, 7",NA,"2",NA,NA,NA
"Stauropteridopsida","Class","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"ix","2001","[Phylum] Botryopteridiophyta","[Genus] Stauropteris","40FA6229-D451-4FE7-9C55-C2698A626C88",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Stellatocharaceae","Family","Conkin J. E. Conkin B. M. ","North American primitive Paleozoic charophytes and descendants [1977/3]",NA,NA,"173","1977","[Order] Charales","[Genus] Stellatochara","87B9D00F-F177-4A6D-83F7-55E205448B7E",NA,NA,"Romans R. C. ","Geobotany",NA,NA,NA,NA,NA,NA
"Stellatocharaceae","Family","Saidakovsky L. Ya. ","Kharofity iz verkhnekamennougol'nykh i permskikh otlozhenij Evropejskoj chasti SSSR [1989/9]","Paleontologicheskii Zhurnal","3","91","1989","[Order] Charales","[Genus] Stellatochara","F983F78F-F524-44A4-A3E0-3F535CA79A37",NA,NA,NA,NA,NA,NA,NA,"1989",NA,NA
"Stellatochareae","Tribe","Schudack M. ","Die Charophyten in Oberjura und Unterkreide Westeuropas mit einer phylogenetischen Analyse der Gesamtgruppe [1993/6]","Berliner Geowissenschaftliche Abhandlungen",NA,"37","1993","[Family] Porocharaceae","[Genus] Stellatochara","27D47812-27A6-44A2-B803-2058D05BABFB",NA,NA,NA,NA,"8",NA,NA,NA,NA,NA
"Stellatocharoideae","Subfamily","Grambast L. ","Classification de l'embranchement des Charophytes [1963/10-12]","Naturalia Monspeliensia","14","68","1963","[Family] Porocharaceae","[Genus] Stellatochara","E9CBEC3F-A23C-4E7E-B099-E47BF21362BB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steloxylaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"vii","2001","[Order] Steloxylales",NA,"E6E7FFBF-BE71-4CD9-9041-EFFE78C99209",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Steloxylales","Order","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"vii","2001","[Phylum] Cladoxylophyta","[Genus] Steloxylon","93ACFE79-D654-4D88-B65A-34F3196D1B7D",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Stenokoleaceae","Family","Matten L. C. Banks H. P. ","Stenokoleos bifidus sp. n. in the Upper Devonian of New York State [1969/10]","American Journal of Botany","8","890","1969",NA,"[Genus] Stenokoleos","49F2D41A-48AD-4EF9-9C72-F42348F9FA1E",NA,NA,NA,NA,"56",NA,NA,NA,NA,NA
"Stenokoleales","Order","Beck C. B. Stein W. E. ","Crossia virginiana gen. et sp. nov., a new member of the Stenokoleales from the Middle Devonian of southwestern Virginia [1993/9]","Palaeontographica","4-6","128-129","1993",NA,"[Genus] Stenokoleos","DBBFDEEC-7CA8-4BC7-BD98-9225E470BEC8",NA,NA,NA,NA,"229",NA,NA,NA,NA,NA
"Stenomyelaceae","Family","Scott D. H. ","Studies in Fossil Botany [1923/6]",NA,NA,"240","1923",NA,"[Genus] Stenomyelon","DF97CD83-76D5-42C7-8879-E116B4C6BA70",NA,"Stenomyeleae","Scott D. H. ","Studies in fossil botany","2",NA,NA,NA,"3",NA
"Stephanolithiaceae","Family","Bukry J. D. ","Upper Cretaceous coccoliths from Texas and Europe [1969/3]","University of Kansas paleontological contributions","51","40","1969","[Phylum] Prymnesiophyta","[Genus] Stephanolithion","420E20CD-C83E-4D99-A8CB-AE33BF21A811",NA,"Stephanolithionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"Stephanoporatae","Unranked","Mürriger F. Pflug H. D. ","Über eine palynologische Untersuchung des Braunkohlenlagers der Grube Emma bei Marxheim (Untermaingebiet) [1952/1]","Notizblatt des Hessischen Landesamtes für Bodenforschung zu Wiesbaden","3","59","1952",NA,"[Genus] Stephanoporato-pollenites","29D7434E-24CE-4DBB-A691-98B5401B5925",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA
"Stephanospermaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xv","2001","[Order] Pachytestales","[Genus] Stephanospermum","43647CC1-FE2A-4B6D-9047-00DA47AD983C",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Sterculiaceae","Family",NA,"Not defined (in editing)",NA,NA,"Essai Propr. Méd. Pl. ed. 2: 85. 1816",NA,"[Order] Malvales","[Genus] Sterculia","F512895E-1CEF-48D3-9FB2-CA119395808C","Yes",NA,NA,NA,NA,"De Candolle A. P. ",NA,NA,NA,NA
"Stereocalameae","Family","Unger F. ","Zur Flora des Cypridinenschiefers [1854/8]","Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften Wien","4","599","1854","[Class] Calamitopsida",NA,"3B223CBE-CD0A-1C17-32DD-392B558A6A55",NA,NA,NA,NA,"12",NA,NA,"1854",NA,NA
"Stereocalameae","Family","Richter R. Unger F. ","Beitrag zur Paläontologie des Thüringer Waldes [1856/6]","Denkschriften der Kaiserlichen Akademie der Wissenschaften Wien","Abtheilung 1","159","1856","[Class] Calamitopsida",NA,"7A09AEDD-4238-6768-F167-53B9F72305E8",NA,NA,NA,NA,"11","Unger F. ",NA,NA,NA,NA
"Stigmariaceae","Family","Göppert H. R. ","Ueber bie Stigmarien, eine neue Familie der vorweltlichen Flora [1840/5]","Übersicht der Arbeiten und Veränderungen der Schlesischen Gesellschaft für Vaterländische Cultur",NA,"136","1840","[Order] Stigmariales","[Genus] Stigmaria","680F3ABF-3995-A1BB-6ABB-35337C381D14",NA,"Stigmarieae",NA,NA,NA,NA,NA,"1839",NA,NA
"Stigmariaceae","Family","Göppert H. R. ","Über die Stigmaria; eine neue Familie der vorweltlichen Flora [1840/11]","Archiv für Mineralogie, Geognosie, Bergbau und Hüttenkunde",NA,"180","1840","[Order] Stigmariales","[Genus] Stigmaria","C5476FAD-F75B-4415-8FAA-7E57C809C4E0",NA,"Stigmarieae",NA,NA,"14",NA,NA,NA,NA,NA
"Stigmariales","Order","von Eichwald K. ","Flora grauvakkovoj, gornoizvestkovoj i medistoslantsevatoj formatsij Rossii [1854/5]",NA,NA,"152","1854","[Class] Lepidocarpopsida","[Genus] Stigmaria","5B79EBC4-7E17-49AB-8693-100B596BAE45",NA,"Stigmarieae","von Eichwald K. ","Paleontologiya Rossii","Drevnij Period",NA,"1",NA,NA,NA
"Stigmophytaceae","Family","Koidzumi G. ","Shokubutsu kaino keitoteki kyushi shitekihatten [1939/10]","Acta Phytotaxonomica et Geobotanica","3","184","1939","[Order] Stigmophytales","[Genus] Stigmophyton","8726E7FA-CCF3-01D7-4878-4D9C2AD6CEAF",NA,"Stigmatophytaceae",NA,NA,"8",NA,NA,NA,NA,NA
"Stigmophytales","Order","Koidzumi G. ","Shokubutsu kaino keitoteki kyushi shitekihatten [1939/3]","Acta Phytotaxonomica et Geobotanica","1","4","1939",NA,"[Genus] Stigmophyton","D4B9C234-DE30-8624-EF24-0BF98555EA29",NA,"Stigmatophytales",NA,NA,"8",NA,NA,NA,NA,NA
"Stigonematales","Order",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Regnum] Prokaryota",NA,"9314A488-A25E-4DF7-9B3C-7C185DB25EC9","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stipites","Family","von Cotta C. B. ","Die Dendrolithen [1832/3]",NA,NA,"45, 46","1832",NA,"[Genus] Fasciculites","49662FD8-5882-4A98-93C4-EB5E54C3B238",NA,NA,"von Cotta C. B. ","Die Dendrolithen in Beziehung auf ihren inneren Bau",NA,NA,NA,NA,NA,NA
"Stomocharoideae","Subfamily","Saidakovsky L. Ya. ","Kharofity iz triasa Prikaspijskoj vpadiny [1968/7]","Paleontologicheskii Zhurnal","2","101","1968","[Subfamily] Porocharoideae","[Genus] Stomochara","C3D44202-E892-4919-A162-EFE366F73CA4",NA,NA,NA,NA,NA,NA,NA,"1968",NA,NA
"Strobilophyta","Phylum","Bessey C. E. ","A synopsis of plant phyla [1907/11-12]","University studies, University of Nebraska","4","323 [49]","1907",NA,NA,"AD4BAB56-9304-0196-74CA-5B378D7277A4","Yes",NA,NA,NA,"7",NA,NA,NA,NA,NA
"Sturianthaceae","Family","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xvii","2001","[Order] Cycadeoideales","[Genus] Sturianthus","864DB4F2-C063-4D33-A89C-7ED06D9E0005",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Sturiellaceae","Family","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","82","1950","[Order] Cycadeoideales","[Genus] Sturiella","D7B9F401-327F-2B18-A6F1-2AA8D08440A8",NA,NA,NA,NA,"6",NA,NA,NA,NA,NA
"Styracaceae","Family",NA,"Not defined (in editing)",NA,NA,"Elem. Philos. Pl.: 140. 1821",NA,"[Order] Styracales","[Genus] Styrax","F1E28D9A-6EC7-4D38-B0A0-61E131E393B0","Yes","Styraceae",NA,NA,NA,"De Candolle A. P. Sprengel A. ",NA,NA,NA,NA
"Styracales","Order","von Martius C. ","Conspectus Regni Vegetabilis [1835/10]",NA,NA,"26","1835","[Class] Magnoliopsida","[Genus] Styrax","51AC6046-BE0C-4E25-93C5-E2A4C5220315","Yes","Styraceae","von Martius C. ","Conspectus Regni Vegetabilis",NA,NA,NA,NA,NA,NA
"Suavitaceae","Family","Rice J. Rothwell G. W. Mapes G. Mapes R. H. ","Suavitas imbricata gen. et sp. nov., an anatomically preserved seed analogue of putative lycophyte affinities from Upper Pennsylvanian marine deposits [1996/8]","American Journal of Botany","8","1089","1996","[Order] Lepidodendrales","[Genus] Suavitas","342F979A-A446-B47A-39E1-55FC35B40287",NA,"Suavitasaceae",NA,NA,"84",NA,NA,NA,NA,NA
"Sublepidodendraceae","Family","Kräusel R. Weyland H. G. ","Pflanzenreste aus dem Devon XIV [1949/5]","Senckenbergiana","1-3","147","1949","[Order] Lepidodendrales","[Genus] Sublepidodendron","2CBF3659-FDC5-4329-AAE6-0F3198D0CC29",NA,NA,NA,NA,"30",NA,NA,NA,NA,NA
"Sublepidodendraceae","Family","Sze H. C. ","On the occurrence of Sublepidodendron, a lepidodenroid plant from the Wutung Formation [1943/6]","Bulletin of the Geological Society of China","1-2","65","1943","[Class] Lepidodendropsida","[Genus] Sublepidodendron","9B2A71F0-2B46-47DF-B2C1-7AD190E5108F",NA,"Sublepidodendroceae",NA,NA,"23",NA,NA,NA,NA,NA
"Sublepidodendroideae","Subfamily","Radczenko G. P. ","Porjadok Lycopodiales. Plaunovye [Order Lycopodiales] [1963/10]",NA,NA,"436","1963",NA,"[Genus] Sublepidodendron","4B755BF5-7A36-48B7-B04C-D18FA18FB214",NA,NA,"Orlov Yu. A. ","Osnovy Paleontologii","[14]",NA,NA,NA,NA,NA
"Subtifloriaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Regnum] Prokaryota","[Genus] Subtifloria","AE931C8E-86E4-4025-B69E-BF23F79B03F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Surianaceae","Family",NA,"Not defined (in editing)",NA,NA,NA,NA,"[Order] Fabales","[Genus] Suriana","FE12EE52-DE3A-0B96-FA90-50CEE0FDB5B0","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Svalbardiaceae","Family","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","80","1950","[Order] Svalbardiales","[Genus] Svalbardia","415A2B3E-76CE-F6C2-3A47-EA699021A1B1",NA,"Swalbardiaceae",NA,NA,"6",NA,NA,NA,NA,NA
"Svalbardiaceae","Family","Novák F. A. ","Vyšší rostliny. Tracheophyta [1961/12]",NA,NA,"191","1961","[Order] Svalbardiales","[Genus] Svalbardia","BEA31FC2-49E8-4E34-9BA0-B45A68C5C337",NA,NA,"Novák F. A. ","Vyšší rostliny",NA,NA,NA,NA,NA,NA
"Svalbardiales","Order","Němejc F. ","The natural systematic of plants in the light of the present palaeontological documents [1950/12]","Sborník Národního Muzea v Praze","3","80","1950","[Class] Protopteridiopsida","[Genus] Svalbardia","1683E73D-0532-0EA7-7C4E-1F53BDB54161",NA,"Swalbardiales",NA,NA,"6",NA,NA,NA,NA,NA
"Svalbardiales","Order","Němejc F. ","Paleobotanika [1963/7]",NA,NA,"346-347","1963","[Class] Archaeopteridopsida","[Genus] Svalbardia","8A136EE1-B91A-49E9-BFD5-977704812BBA",NA,NA,"Němejc F. ","Paleobotanika","2",NA,NA,NA,NA,NA
"Swedenborgiaceae","Family","Zimmermann W. M. ","Die Phylogenie der Pflanzen [1959/10]",NA,NA,"436","1959","[Class] Pinopsida","[Genus] Swedenborgia","3FB5A1B2-1F69-4C17-8E8D-AE736FC3E9C0",NA,NA,"Zimmermann W. M. ","Die Phylogenie der Pflanzen",NA,NA,NA,NA,"2",NA
"Swedenborgiales","Order","Takahashi E. ","Cycadocarpidium no keito ni tsuite [1954]","Yamaguchi Seibutsu","1","2","1954","[Class] Voltziopsida","[Genus] Swedenborgia","9A860FB0-1692-DF26-5AC0-8F3F4C0E5062",NA,NA,NA,NA,"2","Kon'no E. ",NA,NA,NA,NA
"Swedenborgiineae","Suborder","Kon'no E. ","Some Cycadocarpidium and Podozamites from the Upper Triassic Formations in Yamaguchi Prefecture, Japan [1961/3]","Science Reports of the Tohoku University","3","201","1961","[Order] Voltziales","[Genus] Swedenborgia","DDB058AF-8A36-C5DE-4949-FA0F897D7019",NA,NA,NA,NA,"32",NA,NA,NA,NA,NA
"Sycidiaceae","Family","Karpinsky A. P. ","O trokhiliskakh [1906]","Trudy Geologicheskogo Komiteta","27","83, 157","1906","[Order] Sycidiales","[Genus] Sycidium","283F3D56-5EEE-4D74-ACB2-8E153AF6D675",NA,"Sycididae",NA,NA,NA,NA,NA,"New Series",NA,NA
