"Name","Rank","Authors..Pub..","Publication","Journal","Issue","Page.number","Year","Parent.Taxon","Type","ID","Non.fossil","Original.spelling","Authors..Book.","Book","Volume","Authors..Name.","Fascicle","Annee.Jahrgang","Edition","Diagnosis"
"Anachoropteridoideae","Subfamily","Ogura Y. ","Anatomie der Vegetationsorgane der Pteridophyten [1938/5]",NA,NA,"259","1938",NA,"[Genus] Anachoropteris","10B2129B-F48F-4962-9C27-8BC237BF285D",NA,NA,"Linsbauer K. ","Handbuch der Pflanzenanatomie","Abtheilung II, 7",NA,"2",NA,NA,NA
"Anatoliporaceae","Family","Vachard D. Perret M.-F. Delvolvé J.-J. ","Algues, pseudo-algues et foraminiferès des niveaux Bachkiriens dans les secteurs d’Escarra et Aragon Subordan (Pyrénées Aragonaises, Espagne) [1990/2]","Geobios","6","704","1990","[Regnum] Chlorobiota","[Genus] Anatolipora","0CF8EAB6-BBD3-2A7C-4E2E-29D3E05FD02C",NA,NA,NA,NA,"22",NA,NA,"1989",NA,NA
"Anchicodiaceae","Family","Shuysky V. P. ","Sistema nadrodovykh taksonov iskopaemykh izvestkovykh vodoroslej klassa Siphonophyceae [1987/4]",NA,NA,"36","1987","[Subclass] Codiophycidae","[Genus] Anchicodium","3B5A5632-F5BA-0A7A-11EE-D29BF217FE76",NA,NA,"Amon E. O. Papulov G. N. Puchkov V. N. Tchuvashov B. I. ","Geologija i Paleontologija Urala",NA,NA,NA,NA,"1986",NA
"Anchicodiaceae","Family","Shuysky V. P. ","Zelyonye vodorosli (Chlorophyta) [1987/10]","Trudy Instituta geologii i geofiziki Sibirskogo otdeleniya Akademii Nauk SSSR","674","59","1987","[Subclass] Codiophycidae","[Genus] Anchicodium","C6A9B6D2-199A-4181-8402-E15054BD8349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemiaceae","Family",NA,"Not defined (in editing)",NA,NA,"Fil. Sp. Hort. Berol.: 23. 1841",NA,"[Order] Schizaeales","[Genus] Anemia","CBBF2768-8558-48A7-B16E-EAF6C70E0828","Yes",NA,NA,NA,NA,"Link J. H. F. ",NA,NA,NA,NA
"Aneurophytaceae","Family","Koidzumi G. ","Shokubutsu chirigaku no sinpo [1934/1]","Shokubutsu oyobi dōbutsu",NA,"310","1934","[Order] Aneurophytales","[Genus] Aneurophyton","B9463AF6-609A-4C61-8125-08BFBF15837B",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA
"Aneurophytaceae","Family","Kräusel R. Weyland H. G. ","Pflanzenreste aus dem Devon von Nord-Amerika [1941/5]","Palaeontographica","1-3","39","1941","[Order] Aneurophytales","[Genus] Aneurophyton","C5EAF622-3CDE-4D50-B8F3-9C6EEF8C115B",NA,NA,NA,NA,"86",NA,NA,NA,NA,NA
"Aneurophytaceae","Family","Ananiev A. R. ","Semejstvo Aneurophytaceae Kräusel et Weyland, 1941 [Family Aneurophytaceae Kräusel et Weyland, 1941] [1963/10]",NA,NA,"545","1963","[Phylum] Aneurophytophyta","[Genus] Aneurophyton","E8D393FD-8B4A-4049-B1A4-A402A2AF19FA",NA,NA,"Orlov Yu. A. ","Osnovy Paleontologii","[14]",NA,NA,NA,NA,NA
"Aneurophytales","Order","Kräusel R. Weyland H. G. ","Pflanzenreste aus dem Devon von Nord-Amerika [1941/5]","Palaeontographica","1-3","39","1941","[Class] Aneurophytopsida","[Genus] Aneurophyton","22591142-4DAB-4286-8811-8033300C0461",NA,NA,NA,NA,"86",NA,NA,NA,NA,NA
"Aneurophytales","Order","Koidzumi G. ","Shokubutsu chirigaku no sinpo [1934/1]","Shokubutsu oyobi dōbutsu",NA,"310","1934","[Class] Aneurophytopsida","[Genus] Aneurophyton","4F0D5287-F0EE-464E-A149-263472AD67F8",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA
"Aneurophytales","Order","Beck C. B. ","Tetraxylopteris Schmidtii gen. et sp. nov., a probable pteridosperm precursor from the Devonian of New York [1957/6]","American Journal of Botany","4","364","1957","[Class] Aneurophytopsida","[Genus] Aneurophyton","B5A8F8B5-B850-41DA-A47F-7038B8EDB6FF",NA,NA,NA,NA,"44",NA,NA,NA,NA,NA
"Aneurophytineae","Suborder","Hirmer M. ","Geographie und zeitliche Verbreitung der fossilen Pteridophyten [1938/4]",NA,NA,"480","1938","[Class] Aneurophytopsida","[Genus] Aneurophyton","915D4C69-3A14-41CF-83F8-3F96615CFABD",NA,NA,"Verdoorn F. ","Manual of Pteridology",NA,NA,NA,NA,NA,NA
"Aneurophytophyta","Phylum","Bold H. C. ","Morphology of Plants [1973/4]",NA,NA,"481","1973",NA,"[Genus] Aneurophyton","B91DCD0C-16AE-4018-A313-ADCB0A7A0D6D",NA,"Aneurophyta","Bold H. C. ","Morphology of Plants",NA,NA,NA,NA,"3",NA
"Aneurophytophytina","Subphylum","Doweld A. B. ","Prosyllabus Tracheophytorum [2001/12]",NA,NA,"xii","2001",NA,NA,"673CA6C6-14C8-46D0-B51D-5106F7F9D07B",NA,NA,"Doweld A. B. ","Prosyllabus Tracheophytorum",NA,NA,NA,NA,NA,NA
"Aneurophytopsida","Class","Takhtajan A. L. ","Otdel paporotnikovidnykh (Polypodiophyta) [1978/8]",NA,NA,"166","1978","[Subphylum] Aneurophytophytina","[Genus] Aneurophyton","56C6D73B-C1F0-4A5D-BCAA-38D680DECB99",NA,NA,"Takhtajan A. L. ","Zhizn' rastenij","4",NA,NA,NA,NA,NA
"Aneurophytopsida","Class","Bierhorst D. W. ","Morphology of Vascular Plants [1971/5]",NA,NA,"123","1971","[Phylum] Aneurophytophyta","[Genus] Aneurophyton","9103A85D-64F9-49A1-9E8E-C6B28DC2E128",NA,NA,"Bierhorst D. W. ","Morphology of Vascular Plants",NA,NA,NA,NA,NA,NA
"Aneurophytopsida","Class","Ananiev A. R. ","Vazhnejshie mestonakhozhdenija devonskikh flor v Sajano-Altajskoj gornoj oblasti [1960/1]",NA,NA,"59","1960",NA,"[Genus] Aneurophyton","D1FDF416-9B83-4295-BBAB-5357C9D5B410",NA,"Aneurophytales","Ananiev A. R. ","Vazhnejshie mestonakhozhdenija devonskikh flor v Sajano-Altajskoj gornoj oblasti",NA,NA,NA,NA,"1959",NA
"Angaranthaceae","Family","Naugolnykh S. V. ","A new Carboniferous pteridosperm of Angaraland: Angaranthus victorii Naugolnykh, gen. et spec. nov. (Angaranthaceae, fam. nov., Callistophytales) [2012/12]","Wulfenia","19","41","2012","[Class] Lyginopteridopsida","[Genus] Angaranthus","A2C42A56-281B-42EA-BCEE-5A5E6B97D14F",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridosperms with compound monopinnate leaves consist of rachis and subtriangular fan-shaped pinnules. Pinnules from entire-margined to deeply dissected with linear lobes. Female reproductive organs are fertile fronds with reduced pinnae bearing winged ovules of Angarocarpustype. Male reproductive organs are fertile fronds with reduced leaf lamina, with lateral extensions homologous to normal sterile pinnae bearing last order fertile segments. These fertile segments bear lax clusters of microsporangiate polliniferous organs consisting of microsporangia. Microsporangia are fusiform, attached by their base to the fertile segments."
